actual_dataset,parameters_names,n_estimators,max_samples,contamination,max_features,fit_execution_time,auc_execution_time,execution_time,ACC,Precision,Recall,F1_Score,AUC_ROC
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,29.917487621307373,144.36266112327576,174.28014874458313,0.6301939058171745,0.5818815331010453,0.925207756232687,0.7144385026737968,0.9366295531802242
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,30.267543077468872,129.3813202381134,159.64886331558228,0.9487534626038782,0.9736842105263158,0.922437673130194,0.9473684210526316,0.9596649810851668
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,29.715050220489506,134.25643849372864,163.97148871421814,0.9598337950138504,0.997005988023952,0.922437673130194,0.958273381294964,0.9931400158071224
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,31.186262130737305,137.2086536884308,168.3949158191681,0.9542936288088644,0.993975903614458,0.9141274238227148,0.9523809523809524,0.9739029012975652
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,32.87997055053711,136.81372618675232,169.69369673728943,0.9487534626038782,0.990909090909091,0.9058171745152356,0.9464544138929089,0.9523906354309742
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,31.272544860839844,136.95003294944763,168.22257781028748,0.9556786703601108,0.9969788519637462,0.9141274238227148,0.953757225433526,0.9586098940308928
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,30.97563505172729,137.59138989448547,168.56702494621277,0.9542936288088644,1.0,0.9085872576177284,0.9521044992743106,0.9686082826252104
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,31.461263418197632,137.88471674919128,169.34598016738892,0.9515235457063712,0.9851190476190476,0.9168975069252078,0.9497847919655666,0.9817642590219536
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,31.69301414489746,139.25778007507324,170.9507942199707,0.9584487534626038,0.9853372434017597,0.9307479224376732,0.9572649572649572,0.9633788875162098
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,32.18791079521179,140.98328733444214,173.17119812965393,0.9542936288088644,1.0,0.9085872576177284,0.9521044992743106,0.982892242999977
